,AvgQueueTimeCl,AvgQueueTime_SC,AvgTimeToGate,PaxCompleted_SC,PaxCompleted_Cl,NumMissedFlights,TotalExpenditure,AvgMaxPaxInQueueCl,MaxPaxInQueue_SC,Seed1,Gui,Timestep,EndTimeSimulation,Seed2,CheckInStrategy,SecurityCheckpointStrategy,CallToGateStrategy,ScaleCheckpointTime,Timeslot1,Timeslot2,Timeslot3,Timeslot4,Timeslot5,Timeslot6,Timeslot7,ActiveGate1,ActiveGate2,ActiveGate3,ActiveGate4,ActiveGate5,ActiveGate6,ActiveGate7,NumberPaxFlight1,NumberPaxFlight2,NumberPaxFlight3,NumberPaxFlight4,NumberPaxFlight5,NumberPaxFlight6,NumberPaxFlight7,MinimumOccupancy1,MinimumOccupancy2,MinimumOccupancy3,MinimumOccupancy4,MinimumOccupancy5,MinimumOccupancy6,MinimumOccupancy7
66,437.3099633179057,1266.0760335760638,1818.755698791125,669.390625,381.34375,83.21484375,1146.47265625,16.1337890625,151.6875,1649736127718.5234,0.0,100.0,12600.0,0.0,1.0,1.0,44.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,96.0,100.0,134.0,56.0,144.0,144.0,118.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
67,215.2392364220015,1409.5959425115898,1749.896462573623,710.796875,418.2109375,109.00390625,897.53125,12.140625,179.34375,1649738050656.4883,0.0,100.0,12600.0,0.0,8.0,5.0,59.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,105.0,148.0,148.0,52.0,141.0,128.0,141.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
68,202.0508936262337,538.7692663947994,1045.4396658456083,707.1867704280156,360.5719844357977,0.0,905.4980544747082,11.164396887159533,101.91050583657588,1649451467148.0623,0.0,100.0,12600.0,0.0,2.0,16.0,60.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,140.0,83.0,139.0,55.0,128.0,75.0,126.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
69,590.7653584618298,1658.6008170246569,2126.7924717532974,675.3501945525292,421.3112840466926,162.67315175097275,1123.7976653696498,20.151750972762645,222.9455252918288,1649740075511.9534,0.0,100.0,12600.0,0.0,1.0,1.0,44.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,138.0,144.0,121.0,86.0,130.0,114.0,149.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
70,614.9752527602881,1605.0994951471064,2118.0064414268795,676.66796875,419.375,156.26171875,1210.69140625,20.8623046875,218.34375,1649742697900.5312,0.0,100.0,12600.0,0.0,1.0,1.0,40.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,128.0,141.0,134.0,64.0,145.0,140.0,125.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
71,206.48567057177857,942.2187328152587,1472.8275690148384,799.8249027237354,407.3735408560311,0.027237354085603113,1163.9221789883268,12.221789883268482,176.78599221789884,1649744823935.9143,0.0,100.0,12600.0,0.0,9.0,8.0,48.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,139.0,134.0,127.0,82.0,135.0,149.0,77.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
72,200.840131154116,822.664195260065,1392.5025885570276,780.3968871595331,398.63813229571986,0.19066147859922178,1531.591439688716,11.250972762645915,139.48249027237355,1649747443639.895,0.0,100.0,12600.0,0.0,2.0,6.0,35.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,118.0,133.0,97.0,60.0,141.0,142.0,131.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
73,207.6411245041979,417.4753197937478,1055.088133710247,553.2334630350194,282.57587548638134,0.0,1403.692607003891,8.396887159533074,63.78988326848249,1649750018419.3308,0.0,100.0,12600.0,0.0,3.0,3.0,15.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,78.0,80.0,93.0,66.0,86.0,81.0,99.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
74,235.90372197771296,520.7669094980772,1064.2713633231233,599.05078125,305.1171875,0.0,890.234375,9.6943359375,88.15625,1649751896606.3203,0.0,100.0,12600.0,0.0,5.0,3.0,54.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,87.0,87.0,88.0,74.0,132.0,87.0,76.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
75,260.4134721867489,1145.324190931596,1691.9191989894157,815.9453125,414.21484375,0.73828125,1122.69921875,12.7333984375,201.71875,1649753437369.0625,0.0,100.0,12600.0,0.0,6.0,4.0,47.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,137.0,117.0,133.0,68.0,140.0,120.0,146.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
